county_code,county,office,district,party,candidate,votes,pct
51,Nicollet,President,,LIB,Harry Browne,7,0.15
51,Nicollet,President,,R,George W. Bush,2407,51.64
51,Nicollet,President,,RP,Pat Buchanan,5,0.11
51,Nicollet,U.S. Senate,,DFL,Mark Dayton,2220,47.98
51,Nicollet,U.S. Senate,,IND,Jim Gibson,174,3.76
51,Nicollet,U.S. Senate,,R,Rod Grams,2233,48.26
52,Nobles,President,,DFL,Al Gore,7041,46.51
52,Nobles,President,,GP,Ralph Nader,842,5.56
52,Nobles,President,,LIB,Harry Browne,25,0.17
52,Nobles,President,,R,George W. Bush,7221,47.70
52,Nobles,President,,RP,Pat Buchanan,10,0.07
52,Nobles,U.S. Senate,,DFL,Mark Dayton,7154,48.07
52,Nobles,U.S. Senate,,IND,Jim Gibson,863,5.80
52,Nobles,U.S. Senate,,R,Rod Grams,6866,46.13
53,Norman,President,,DFL,Al Gore,3760,42.80
53,Norman,President,,GP,Ralph Nader,238,2.71
53,Norman,President,,LIB,Harry Browne,15,0.17
53,Norman,President,,R,George W. Bush,4766,54.25
53,Norman,President,,RP,Pat Buchanan,6,0.07
53,Norman,U.S. Senate,,DFL,Mark Dayton,3889,45.41
53,Norman,U.S. Senate,,IND,Jim Gibson,292,3.41
53,Norman,U.S. Senate,,R,Rod Grams,4384,51.19
54,Olmsted,President,,DFL,Al Gore,1575,44.78
54,Olmsted,President,,GP,Ralph Nader,123,3.50
54,Olmsted,President,,LIB,Harry Browne,8,0.23
54,Olmsted,President,,R,George W. Bush,1808,51.41
54,Olmsted,President,,RP,Pat Buchanan,3,0.09
54,Olmsted,U.S. Senate,,DFL,Mark Dayton,1948,54.61
54,Olmsted,U.S. Senate,,IND,Jim Gibson,76,2.13
54,Olmsted,U.S. Senate,,R,Rod Grams,1543,43.26
55,Otter Tail,President,,DFL,Al Gore,25822,43.83
55,Otter Tail,President,,GP,Ralph Nader,2198,3.73
55,Otter Tail,President,,LIB,Harry Browne,209,0.35
55,Otter Tail,President,,R,George W. Bush,30641,52.01
55,Otter Tail,President,,RP,Pat Buchanan,42,0.07
55,Otter Tail,U.S. Senate,,DFL,Mark Dayton,27073,47.04
55,Otter Tail,U.S. Senate,,IND,Jim Gibson,2178,3.78
55,Otter Tail,U.S. Senate,,R,Rod Grams,28300,49.17
56,Pennington,President,,DFL,Al Gore,9844,35.16
56,Pennington,President,,GP,Ralph Nader,1120,4.00
56,Pennington,President,,LIB,Harry Browne,46,0.16
56,Pennington,President,,R,George W. Bush,16963,60.59
56,Pennington,President,,RP,Pat Buchanan,24,0.09
56,Pennington,U.S. Senate,,DFL,Mark Dayton,11587,41.74
56,Pennington,U.S. Senate,,IND,Jim Gibson,936,3.37
56,Pennington,U.S. Senate,,R,Rod Grams,15235,54.89
57,Pine,President,,DFL,Al Gore,2458,40.20
57,Pine,President,,GP,Ralph Nader,255,4.17
57,Pine,President,,LIB,Harry Browne,11,0.18
57,Pine,President,,R,George W. Bush,3380,55.28
57,Pine,President,,RP,Pat Buchanan,10,0.16
57,Pine,U.S. Senate,,DFL,Mark Dayton,3187,51.92
57,Pine,U.S. Senate,,IND,Jim Gibson,144,2.35
57,Pine,U.S. Senate,,R,Rod Grams,2807,45.73
58,Pipestone,President,,DFL,Al Gore,6148,48.11
